theta,c_breathing,psi_planet,ratio
0.0,0.0,1.570796301144594,-0.011131663867307882
0.0157079632679489,9.252563884961957e-06,1.5706214453774552,-0.07184128822282787
0.0314159265358979,3.70079726081518e-05,1.5685393405115413,-0.13716223485105417
0.0471238898038469,8.325937793778916e-05,1.566312366683875,-0.01593679427058703
0.0628318530717958,0.00014799536803168276,1.5680386713535188,0.06577780718629356
0.0785398163397448,0.00023119997025293636,1.568378837442132,-0.13694640033322258
0.0942477796076938,0.00033285265511097135,1.5637363733012948,-0.2583275834902494
0.1099557428756427,0.00045292834132685823,1.5602632370570062,0.006987332618770381
0.1256637061435917,0.0005913974020217579,1.5639558868295278,0.14665365067121172
0.1413716694115407,0.0007482256720269079,1.564870497372714,-0.19499988336382046
0.1570796326794896,0.0009233744563133373,1.5578297848192615,-0.37203222448962237
0.1727875959474386,0.0011168005395393466,1.5531827603391613,0.031759413417667304
0.1884955592153876,0.001328456196713195,1.5588275362180142,0.22743060868447174
0.2042035224833365,0.001558289204968547,1.5603277036336074,-0.25148104819515993
0.2199114857512855,0.0018062428564496668,1.5509270260827441,-0.4847658022517578
0.2356194490192345,0.0020722559723032833,1.5450983368029505,0.055598095108173595
0.2513274122871834,0.002356262917773473,1.5526736917541983,0.3067769024457476
0.2670353755551324,0.0026581936183961586,1.5547360174330962,-0.3094537633185581
0.2827433388230814,0.0029779735772888245,1.5429519150595252,-0.5990373464619978
0.2984513020910304,0.003315523893531593,1.5359167041643869,0.07773529318843941
0.3141592653589793,0.003670761281634806,1.5453940413195797,0.3843175580508529
0.3298672286269283,0.004043598092088475,1.547990396334568,-0.3685504420971881
0.3455751918948773,0.0044339423329885,1.5338156877058815,-0.7135383146428111
0.3612831551628262,0.00484169769273429,1.5255739290612012,0.09874810622550001
0.3769911184307752,0.005266763563792194,1.536917950956621,0.46016658247439324
0.3926990816987242,0.005709035067518927,1.5400304886104919,-0.42677191604383324
0.4084070449666731,0.0061684030800388,1.5235105157946038,-0.8252830013376595
0.4241150082346221,0.006644754259168389,1.5141034584691426,0.11974866878328783
0.4398229715025711,0.007137971072382054,1.5272725311758713,0.5346090179862131
0.45553093477052,0.007647931825811272,1.5308986961036262,-0.4817117949460439
0.471238898038469,0.008174510694270857,1.5121391088143707,-0.931074458095992
0.4869468613064179,0.008717577752304384,1.5016481293286317,0.14182224292189005
0.5026548245743669,0.009276999006241371,1.5165945859791614,0.6078790114274852
0.5183627878423159,0.009852636427258208,1.5207452116943516,-0.531358677744997
0.5340707511102649,0.010444347985434695,1.4999014607949126,-1.0284053248098601
0.5497787143782138,0.011051987684797832,1.4884369055609987,0.1657047234804665
0.5654866776461628,0.011675405599344121,1.5051072282144264,0.6800412271329463
0.5811946409141118,0.012314447910031528,1.5098010307939893,-0.5744639313908664
0.5969026041820608,0.012968956942732101,1.4870599115483278,-1.1157986024015258
0.6126105674500097,0.013638771207135648,1.4747471838720854,0.19169036714269794
0.6283185307179586,0.014323725436595063,1.493082042040122,0.750968151426008
0.6440264939859076,0.015023650628903427,1.4983395441480836,-0.6105438338803708
0.6597344572538566,0.01573837408799274,1.4739012418079909,-1.1927200486795897
0.6754424205218056,0.01646771946654412,1.4608691387208728,0.21969948500908032
0.6911503837897546,0.017211506809498827,1.4808033046890108,0.8203781676247317
0.7068583470577036,0.017969552598459504,1.486642078966626,-0.6396792599786849
0.7225663103256524,0.018741669796970624,1.4607071880509832,-1.2592888136817066
0.7382742735936014,0.0195276678966669,1.4470803541085233,0.24940704739774588
0.7539822368615504,0.02032735296427835,1.468542541529566,0.8878915096813813
0.7696902001294994,0.021140527689480507,1.4749742885485213,-0.6622821110387989
0.7853981633974484,0.021966991433577714,1.4477363353831316,-1.3159889486795038
0.8011061266653973,0.022806540279007748,1.4336312764147527,0.28035532258247997
0.8168140899333463,0.023658967079655452,1.4565439576013308,0.953076103619793
0.8325220532012952,0.024524061511962895,1.4635730452691922,-0.678908752074193
0.8482300164692442,0.025401610126823595,1.43521541012159,-1.3634353888843478
0.8639379797371932,0.02629139640224788,1.420739459255558,0.3120487637300613
0.8796459430051422,0.02719320079678643,1.4450187111585513,1.015486916028948
0.8953539062730911,0.02810680080369889,1.4526419216076893,-0.6901294270056724
0.91106186954104,0.02903197100585405,1.42333765577948,-1.4022405484694929
0.9267698328089892,0.02996848313134817,1.4085892355513148,0.3439974383976505
0.942477796076938,0.03091610610982757,1.4341446540327165,1.0746820829267918
0.958185759344887,0.03187460612950192,1.4423513689179883,-0.6964849435741982
0.973893722612836,0.03284374669483371,1.4122639342120304,-1.4329727572873878
0.9896016858807848,0.033823288684889985,1.3973332020471048,0.3757324436636935
1.005309649148734,0.034812990412341954,1.4240679170593242,1.1302313417502603
1.0210176124166828,0.03581260768309752,1.432840466848101,-0.6984752068038631
1.036725575684632,0.036821893856552795,1.4021246712752264,-1.4561482076640644
1.0524335389525807,0.03784059990644666,1.3870942217307465,0.4068116807096942
1.0681415022205298,0.03886847448230463,1.4149050371503482,1.1817223186129127
1.0838494654884787,0.03990526397145546,1.4242191232781207,-0.6965587246910729
1.0995574287564276,0.040950712561606546,1.3930219994275148,-1.4722343344448774
1.1152653920243767,0.042004562303961636,1.3779675175835744,0.43682270483898833
1.1309733552923256,0.043066553176865904,1.406745189431948,1.228766433582308
1.1466813185602749,0.0441364231499624,1.4165703535907734,-0.6911552808925592
1.1623892818282235,0.045213908248844,1.3850319059025311,-1.4816562696487523
1.1780972450961724,0.04629874262018535,1.3700227490720365,0.4653849547909985
