theta_rad,x_m,v_norm
0.0,9.81015269019281e-13,0.011863578808594809
0.015707963267948967,1.5809656106990922e-05,0.020592637050014333
0.031415926535897934,0.00012164392555908955,0.048172897841137256
0.0471238898038469,0.00025140635790636966,0.06816155040116348
0.06283185307179587,0.0002514063552153889,0.06816155040252184
0.07853981633974483,0.00032185477186688074,0.07646456488699259
0.0942477796076938,0.0005975977511878616,0.10269870131966911
0.10995574287564278,0.000847910942264063,0.12171175715465893
0.12566370614359174,0.000847910939615626,0.12171175715594107
0.1413716694115407,0.0009704420141328108,0.12983673944434226
0.15707963267948966,0.0014096051946059119,0.15550836681119817
0.17278759594743864,0.001777274169477705,0.1741137470856201
0.1884955592153876,0.0017772741670253334,0.174113747086838
0.20420352248333656,0.0019508544425661746,0.18223550970317468
0.21991148575128555,0.0025512916478360737,0.2078969642205812
0.2356194490192345,0.0030358235742722786,0.22649497177453154
0.25132741228718347,0.003035823572108232,0.2264949717756734
0.26703537555513246,0.0032604283689335435,0.23460437927034952
0.2827433388230814,0.004022003137224939,0.26022679664672566
0.2984513020910304,0.004623243585415371,0.27879651223291496
0.3141592653589793,0.004623243583538406,0.2787965122339745
0.3298672286269283,0.004898745391232718,0.28679116230342977
0.3455751918948773,0.005820399276418775,0.3120509930607364
0.3612831551628262,0.006536958690470352,0.33035792585431545
0.3769911184307752,0.006536958688858063,0.33035792585528917
0.3926990816987242,0.006862571042090049,0.3381035089124914
0.4084070449666731,0.007940959303520035,0.3625763895816562
0.4241150082346221,0.00876959719885897,0.3803129843348098
0.4398229715025711,0.00876959719747974,0.3803129843356967
0.45553093477052004,0.009143695112183181,0.3876862218141488
0.471238898038469,0.010372894251346777,0.4109826424480643
0.48694686130641796,0.011308568253934094,0.42786660382427155
0.5026548245743669,0.011308568252754149,0.4278666038250732
0.5183627878423159,0.011728768734230855,0.43477823728140946
0.5340707511102649,0.013100678040527593,0.4566161776348534
0.5497787143782138,0.0141369746443764,0.4724431129077618
0.5654866776461628,0.01413697464336381,0.4724431129084825
0.5811946409141118,0.014600352512236882,0.4788421560957823
0.5969026041820608,0.016105403206067615,0.49906052044136656
0.6126105674500097,0.017235077567292836,0.5137136763087491
0.6283185307179586,0.017235077566419378,0.5137136763093949
0.6440264939859076,0.017738402162504996,0.5195796808818922
0.6597344572538566,0.019366255769003173,0.5381138607941304
0.6754424205218056,0.02058169083568098,0.5515464126309674
0.6911503837897546,0.02058169083492265,0.5515464126315452
0.7068583470577036,0.021121612408602577,0.55687821000728
0.7225663103256524,0.02286167760526077,0.5737245132442014
0.7382742735936014,0.02415519026749731,0.5859337851170613
0.7539822368615504,0.02415519026683435,0.5859337851175778
0.7696902001294994,0.024728356785277808,0.5907405929390521
0.7853981633974484,0.02657010152672956,0.6059281434882703
0.8011061266653973,0.027934114768109187,0.6169352428578104
0.8168140899333463,0.027934114767525497,0.6169352428582715
0.8325220532012952,0.0285372334896721,0.6212291028165283
0.8482300164692442,0.03047033114750715,0.6347959475062508
0.8639379797371932,0.03189743399248115,0.6446284486160877
0.8796459430051422,0.031897433991963674,0.6446284486164984
0.8953539062730911,0.032527287921498775,0.6484215760182543
0.9110618695410401,0.0345416523012478,0.6604063102313485
0.9267698328089891,0.03602460908285585,0.6690921848872747
0.942477796076938,0.03602460908239407,0.669092184887639
0.958185759344887,0.036678057648193874,0.6723961261006447
0.9738937226128359,0.03876383974533948,0.6828352316459085
0.9896016858807849,0.040295582632676324,0.6904009198517496
1.0053096491487339,0.0402955826322617,0.6904009198520709
1.0210176124166828,0.04096955739000625,0.693226356620391
1.0367255756846319,0.04311713055608873,0.7021535834487198
1.0524335389525807,0.044690747614045595,0.7086235453082971
1.0681415022205298,0.04469074761367118,0.7086235453085781
1.0838494654884787,0.0453822468239479,0.7109803167072701
1.0995574287564276,0.04758218977613602,0.7184267522794789
1.1152653920243767,0.04919091278512577,0.7238235182705827
1.1309733552923256,0.04919091278478582,0.7238235182708257
1.1466813185602747,0.049896996159555944,0.7257207051065039
1.1623892818282235,0.052140076921946554,0.7317150410646563
1.1780972450961724,0.05377727025247179,0.736059405307724
1.1938052083641215,0.05377727025216157,0.7360594053079311
1.2095131716320704,0.05449505423581356,0.7375054233107088
1.2252211349000195,0.056772215826088004,0.7420742499266132
1.2409290981679684,0.05843136663168611,0.745385483584767
1.2566370614359172,0.05843136663140167,0.74538548358494
1.2723450247038663,0.059158020263482186,0.7463881686665416
1.2880529879718152,0.06146036816663552,0.749556244222584
1.3037609512397643,0.06313507782376969,0.7518522907340074
1.3194689145077132,0.06313507782350773,0.7518522907341476
1.3351768777756623,0.06386781913144679,0.7524189725481224
1.3508848410436112,0.06618661037319454,0.7542094557575106
1.36659280431156,0.06787058700939706,0.7555070992808292
1.3823007675795091,0.06787058700915481,0.7555070992809381
1.398008730847458,0.06860667985770434,0.7556446635340064
1.4137166941154071,0.07093331344890226,0.7560793104191924
1.429424657383356,0.07262036539617645,0.7563943185201001
1.4451326206513049,0.07262036539595151,0.7563943185201787
1.460840583919254,0.07335711672341849,0.7561092595960981
1.4765485471872029,0.07568312526457864,0.7552085897587109
1.492256510455152,0.07736715529468903,0.7545558339132513
1.5079644737231008,0.07736715529447942,0.7545558339133006
1.5236724369910497,0.07810191267571981,0.7538542995212303
1.5393804002589988,0.08041895494289836,0.7516377372126823
1.5550883635269477,0.08209395516542617,0.7500312950474473
1.5707963267948968,0.08209395516523016,0.7500312950474683
1.5865042900628457,0.08282410465197876,0.7489191243054459
1.6022122533307945,0.08512395901690556,0.7454051187551751
