theta,Rp,Rr,C
0.0,54.183650781843504,108.33802007879581,54.1543692969523
0.9,54.24116457822315,108.39158263347153,54.15041805524838
1.8,54.28384825335279,108.44517089552892,54.16132264217613
2.7,54.34336717031182,108.49865805759205,54.15529088728024
3.6,54.48471128421112,108.55144280611529,54.06673152190417
4.5,54.619328941579305,108.60425446608008,53.984925524500774
5.4,54.68826835299813,108.6581705908803,53.969902237882174
6.3,54.795715916401775,108.71100943273444,53.91529351633267
7.2,55.03757425690861,108.75933072992129,53.721756473012675
8.1,55.249575159398795,108.8086716982719,53.5590965388731
9.0,55.3465265509154,108.86363064052763,53.51710408961223
9.9,55.50158050664095,108.9146668257829,53.413086319141954
10.8,55.84080646730068,108.95159738058885,53.11079091328817
11.700000000000001,56.12752247487479,108.99267675841949,52.86515428354471
12.6,56.25115947592647,109.05001872199317,52.7988592460667
13.5,56.45089058417718,109.09768310556137,52.64679252138419
14.4,56.881964471618296,109.11287041744288,52.23090594582458
15.3,57.23830385865235,109.13884661190431,51.900542753251955
16.2,57.38552903281667,109.20099001092535,51.81546097810869
17.1,57.625481256991584,109.2435529131533,51.61807165616171
18.0,58.13997630158736,109.22305630424334,51.08308000265598
18.900000000000002,58.558626235751966,109.22508402533867,50.666457789586715
19.8,58.726194340222776,109.29593114046085,50.56973680023807
20.7,59.001152016032655,109.33174573093594,50.33059371490328
21.6,59.58710361293822,109.25809171309172,49.6709881001535
22.5,60.05844408408365,109.22550280826444,49.167058724180784
23.400000000000002,60.2439132644624,109.31069456380887,49.06678129934647
24.3,60.5482513259419,109.33844165467974,48.79019032873785
25.2,61.189588050121166,109.19113621278255,48.001548162661386
26.1,61.70151388297045,109.11190142037593,47.41038753740548
27.0,61.90370593422146,109.21887715749435,47.315171223272884
27.900000000000002,62.23149105106116,109.23787116615053,47.006380115089364
28.8,62.907771657915504,108.99461345105736,46.08684179314186
29.7,63.445632568178674,108.8562440978758,45.41061152969713
30.6,63.66471711533771,108.99410656634471,45.329389451007
31.5,64.00973665459489,109.00472458898574,44.994987934390856
32.4,64.69649028329603,108.64347960764542,43.94698932434939
33.300000000000004,65.24339288103275,108.4344563225875,43.191063441554746
34.2,65.48072490974155,108.61364597638345,43.13292106664189
35.1,65.83662245084406,108.61786962784159,42.781247176997525
36.0,66.50655249764483,108.11972134874716,41.61316885110232
36.9,67.04422321027916,107.83134907665905,40.787125866379895
37.800000000000004,67.30204723145118,108.06310684531744,40.76105961386625
38.7,67.66266597316465,108.06503866906911,40.40237269590446
39.6,68.287778098118,107.41737332761,39.12959522949199
40.5,68.79800976939752,107.04569779925308,38.24768802985556
41.4,69.07908645888746,107.34129119758097,38.26220473869352
42.300000000000004,69.43897496058186,107.34740172188963,37.908426761307766
43.2,69.99333501582484,106.5466155551897,36.55328053936487
44.1,70.45976989854465,106.09383296775229,35.634063069207635
45.0,70.7669300832408,106.46358259731718,35.6966525140764
45.9,71.12182614964433,106.48246182868459,35.36063567904026
46.800000000000004,71.58429896788178,105.53530675741553,33.95100778953374
47.7,71.99407617540061,105.01012891751496,33.016052742114354
48.6,72.32971062198162,105.46237214388236,33.13266152190075
49.5,72.67678731162728,105.50391395748194,32.82712664585466
50.4,73.03299416914487,104.42695898638574,31.393964817240867
51.300000000000004,73.37777135622358,103.84371884065348,30.465947484429908
52.2,73.74330730997326,104.38393985971234,30.640632549739088
53.1,74.08105713213949,104.45816875774564,30.377111625606148
54.0,74.32404433956297,103.275542172265,28.951497832702028
54.9,74.60013156130694,102.65232220698711,28.05219064568017
55.800000000000004,74.99559762429799,103.28270575316678,28.287108128868798
56.7,75.32341384213515,103.39862745832176,28.075213616186595
57.6,75.45301848520826,102.13880646859022,26.68578798338196
58.5,75.66071445609818,101.49520355080494,25.834489094706775
59.4,76.08450862798408,102.21473391785473,26.130225289870648
60.300000000000004,76.40215177839734,102.37955043082954,25.9773986524322
61.2,76.42348137641511,101.07214776039993,24.648666383984825
62.1,76.56595335495233,100.4272980007319,23.861344645779575
63.0,77.01486996579645,101.2323392877978,24.217469322001346
63.9,77.32201242473386,101.45117300600293,24.12916058126907
64.8,77.24361151622338,100.1244228830461,22.880811366822716
65.7,77.32570386390512,99.49566050136875,22.169956637463628
66.60000000000001,77.79518953578096,100.3808193216511,22.58562978587014
67.5,78.09114464768182,100.65688326068695,22.565738613005138
68.4,77.92331423792494,99.33610214789172,21.412787909966784
69.3,77.95055467408172,98.73831960421282,20.787764930131107
70.2,78.43510365904999,99.69736329971933,21.262259640669345
71.10000000000001,78.7187467346489,100.0324034761659,21.31365674151699
72.0,78.4722618919573,98.73934956144102,20.26708766948372
72.9,78.4501744925876,98.18492015395893,19.734745661371328
73.8,78.94376214381691,99.21158205316169,20.267819909344787
74.7,79.21359113003358,99.60641472182216,20.39282359178858
75.60000000000001,78.8988660106278,98.3592989235576,19.4604329129298
76.5,78.83258023036993,97.85835376192625,19.025773531556318
77.4,79.32905818483613,98.94694555862941,19.61788737379328
78.3,79.58332834407815,99.40196742113974,19.818639077061594
79.2,79.20996371708574,98.21584867421043,19.005884957124696
80.10000000000001,79.1040516749643,97.77672339246642,18.67267171750213
81.0,79.59746510002834,98.92254801259202,19.325082912563673
81.9,79.83434570915038,99.43816134094413,19.60381563179375
82.8,79.41095451733868,98.32551616482107,18.91456164748239
83.7,79.26941888977818,97.9552414349802,18.685822545202008
84.60000000000001,79.75423695334509,99.15484131060302,19.400604357257933
85.5,79.97195903554507,99.7317824115432,19.75982337599812
86.4,79.5061705647457,98.70311332670978,19.19694276196408
87.3,79.33251580683128,98.4078723692973,19.075356562466016
88.2,79.80373665668601,99.65904816355533,19.85531150686931
89.10000000000001,79.99999992847027,100.29696638031022,20.296966451839953
90.0,79.51847311109141,99.3673766815159,19.848903570424493
90.9,79.33484581433012,99.15707329891589,19.822227484585767
91.8,79.80700424774105,100.4630405342718,20.656036286530753
92.7,79.99999948566338,101.16963672345462,21.169637237791232
93.60000000000001,79.49993803692567,100.34171950651715,20.84178146959148
94.5,79.30139651388797,100.21866274170853,20.917266227820562
95.4,79.76330152064682,101.57722190120082,21.813920380553995
96.3,79.94485058828418,102.35316727922903,22.408316690944844
97.2,79.41895325171605,101.63142515159859,22.212471899882544
98.10000000000001,79.19587402756444,101.59896310414605,22.40308907658161
99.0,79.6324476289114,103.01000067812436,23.37755304921296
99.9,79.78946269175218,103.85604170720366,24.066579015451477
100.8,79.24351110868948,103.24946383043623,24.00595272174675
101.7,78.99886304640283,103.31423253965367,24.315369493250838
102.60000000000001,79.40821197828365,104.78170637601468,25.373494397731033
103.5,79.5408286106093,105.70314861073668,26.162320000127384
104.4,78.97985855535698,105.21986291223324,26.24000435687626
105.3,78.71665427734601,105.38911442708016,26.672460149734142
106.2,79.09759534977749,106.91847883391179,27.820883484134292
107.10000000000001,79.2064259169989,107.92186345425529,28.71543753725639
108.0,78.63537342878095,107.57057858011814,28.935205151337193
108.9,78.35679744647578,107.85251565860678,29.495718212131
109.8,78.7088388915842,109.45082804425721,30.74198915267301
110.7,78.79499261960801,110.5441037768654,31.749111157257385
111.60000000000001,78.21882546710977,110.33444382288809,32.11561835577833
112.5,77.92831067176412,110.73848991265783,32.81017924089371
113.4,78.25161387242898,112.41454559012769,34.162931717698704
114.3,78.31669597771906,113.60726471425656,35.2905687365375
115.2,77.74051967596789,113.55011030232421,35.80959062635633
116.10000000000001,77.4417964170141,114.08719603349186,36.645399616477754
117.0,77.73710688825864,115.85169386890809,38.11458698064945
117.9,77.78318321706037,117.15523362370476,39.37205040664439
118.8,77.21231075322972,117.26308113597347,40.05077038274374
119.7,76.9094129752601,117.9459519081555,41.0365389328954
120.60000000000001,77.1779361080111,119.81168005839842,42.63374395038733
121.5,77.20743792815746,121.23948100945717,44.03204308129971
122.4,76.64740140294849,121.52682327572964,44.87942187278116
123.3,76.34460029737758,122.37036073627618,46.0257604388986
124.2,76.58777857446773,124.35237390342868,47.76459532896096
125.10000000000001,76.60330194097865,125.92016736242059,49.31686542144193
126.0,76.05976381896589,126.40388060009221,50.34411678112632
126.9,75.76137417545813,127.4254056482269,51.66403147276878
127.8,75.98049039363283,129.5411285713733,53.560638177740465
128.70000000000002,75.98440912014507,131.267084388653,55.28267526850792
